"Company.Name","YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
"Balkrishna Industries Ltd.",1961,24.83,14.45,9.06,7.29,744.4,0.79,6.97,1.55,5.07,0.661079343302225
"Balkrishna Industries Ltd.",1961,28.05,12.79,9.42,5.47,831.4,0.79,10.26,2.44,8.32,0.8801480825212
"Balkrishna Industries Ltd.",1961,28.42,11.37,11.02,4.07,1077.1,0.78,7.58,1.95,7.5,0.816952952977823
"Balkrishna Industries Ltd.",1961,29.63,12.67,13.48,3.96,1675.8,0.86,9.44,2.45,6.58,1.27842701726337
"Balkrishna Industries Ltd.",1961,23.41,11.01,11.89,4.66,2423.3,0.56,12.77,2.72,7.54,1.62870061713904
"Balkrishna Industries Ltd.",1961,22.34,12.17,15.84,9.36,2833.5,0.67,10.71,2.18,5.92,1.84845158820813
"Banco Products (India) Ltd.",1961,29.87,19.59,8.42,24.33,61,0.96,7.5,1.83,8.13,0.583591806128362
"Banco Products (India) Ltd.",1961,37.7,28.51,12.61,21.97,73.3,0.9,5.08,1.61,3.56,0.64480534847947
"Banco Products (India) Ltd.",1961,26.93,24.44,12.78,25.88,87.7,0.78,3.21,0.78,2.12,0.412480425931726
"Banco Products (India) Ltd.",1961,39.14,30.96,17.88,18.24,95.4,0.87,7.81,2.65,6.36,1.41079228034535
"Banco Products (India) Ltd.",1961,23.57,16.57,11.54,36.48,129.7,0.89,8.55,1.89,6.22,0.99165673420739
"Banco Products (India) Ltd.",1961,22.91,16.52,10.67,24.66,152.7,0.89,8.24,1.49,5.79,0.766957087777277
"Banco Products (India) Ltd.",1961,9.72,6.89,6.46,36.93,157.4,0.87,6.14,0.85,3.3,0.598118818014744
"Banco Products (India) Ltd.",1961,18.27,13.32,12.85,20.95,161,1.17,7.72,1.31,5.39,1.06035350919
"Banco Products (India) Ltd.",1961,10.19,8.7,8.71,51.05,158.6,1.17,18.39,1.83,9.81,1.63967429423111
"Banco Products (India) Ltd.",1961,18.97,18.44,14.41,40.06,183.8,1.29,9.74,1.76,5.82,1.48441556019693
"Bharat Forge Ltd.",1961,19.26,9.74,11.31,31.8,1000.1,0.88,30.15,5.22,16.37,3.45939360752219
"Bharat Forge Ltd.",1961,19.56,9.94,10.96,28.48,1391.1,0.93,21.82,4.04,10.5,2.51394013108994
"Bharat Forge Ltd.",1961,6.52,3.19,4.34,22.18,1495.6,0.97,22.6,1.47,7.3,1.02977582708009
"Bharat Forge Ltd.",1961,8.14,3.67,6.2,18.32,1645.5,1,46.02,3.69,14.15,2.91945389667477
"Bharat Forge Ltd.",1961,17.52,9.01,9.8,26.21,1932.7,0.99,26.12,4.04,11.78,2.59768866404589
"Bharat Forge Ltd.",1961,20.85,11.36,10.99,25.72,2149.3,0.99,18.43,3.25,10.99,1.93618794193015
"Bharat Forge Ltd.",1961,12.62,6.76,8.27,25.9,2239.3,1.02,12.91,1.99,6.36,1.43175021697153
"Bharat Forge Ltd.",1961,14.94,8.43,10.22,26.19,2453.2,1.08,26.25,3.64,10.86,2.74933113740253
"Bharat Forge Ltd.",1961,22.97,14.24,14.79,24.28,2505.1,1.22,41.8,8.5,20.83,6.27315101065133
"Bharat Forge Ltd.",1961,19.79,12.14,15.09,38.38,3084.5,1.21,28.98,5.66,15.31,4.48912819175849
"Bharat Gears Ltd.",1971,28.1,6.1,2.54,0,100.9,1.05,8.08,1.94,5.19,0.212241862093105
"Bharat Gears Ltd.",1971,28.08,9.69,3.31,7.74,95.9,1.23,3.84,0.97,2.41,0.127440555309408
"Bharat Gears Ltd.",1971,10.55,4.18,1.45,19.31,98.3,1.01,3.27,0.33,2.91,0.0477222201288669
"Bharat Gears Ltd.",1971,13.59,6.03,2.07,15.31,95.6,1,7.46,0.95,2.78,0.15473031061937
"Bharat Gears Ltd.",1971,19.66,9.44,2.6,12.05,90.9,0.96,4.34,0.79,2.73,0.112786519983289
"Bharat Gears Ltd.",1971,25.87,12.86,3.3,7.58,107.8,0.96,4.44,0.85,3.17,0.116797945205479
"Bharat Gears Ltd.",1971,7.61,3.85,1.23,28.37,115.5,0.99,3.07,0.41,1.69,0.0694703251653778
"Bharat Gears Ltd.",1971,-0.11,-0.05,-0.02,130,137.2,1.2,28.41,0.43,4.29,0.0673122425729559
"Bharat Gears Ltd.",1971,-4.2,-1.71,-0.64,8.21,139.5,1.58,40.91,0.86,6.29,0.126237997866287
"Bharat Gears Ltd.",1971,0.11,0.04,0.02,0,165,1.69,703.05,0.74,4.26,0.114215094689937
"Bharat Seats Ltd.",1986,13.48,9.51,1.49,32.08,26.6,0.83,9.65,1.2,3.41,0.140646640007803
"Bharat Seats Ltd.",1986,13.74,9.72,1.43,48.61,23.6,1.08,13.54,1.81,5.98,0.194500171467764
"Bharat Seats Ltd.",1986,11.18,7.76,1.14,56.88,21.3,1.15,6.51,0.72,3.21,0.0741550058137204
"Bharat Seats Ltd.",1986,14.64,8.83,1.05,49.22,26.8,1.23,14.25,2.02,7.32,0.150748014361876
"Bharat Seats Ltd.",1986,27.98,14.21,1.72,30.5,48.1,1.22,6.25,1.61,4.23,0.107441983984311
"Bharat Seats Ltd.",1986,16.8,6.84,1.19,44.19,67.1,1.22,8.69,1.26,3.81,0.0933607361195151
"Bharat Seats Ltd.",1986,14.72,4.49,0.79,46.92,113.3,1.24,7.35,1.01,5.62,0.0570261270116039
"Bharat Seats Ltd.",1986,17.12,4.76,1.08,37.41,135.2,1.15,7.37,1.2,5.27,0.0794241484107889
"Bharat Seats Ltd.",1986,19.56,6.11,1.1,34.85,164.2,1.08,10.72,1.99,5.37,0.117842848922703
"Bharat Seats Ltd.",1986,15.18,5.56,0.92,40.2,167,1.1,15.53,2.27,5.91,0.142918022038984
"Bimetal Bearings Ltd.",1961,8.47,8.35,8.25,28.01,39.6,0.5,11.16,0.87,4.02,0.919700551615445
"Bimetal Bearings Ltd.",1961,8.08,7.88,7.27,30.35,41.6,0.77,8.98,0.71,3.12,0.679238339751819
"Bimetal Bearings Ltd.",1961,6.32,6.09,5.18,36.46,37.5,0.7,6.31,0.39,1.02,0.342400120156203
"Bimetal Bearings Ltd.",1961,7.36,7.19,6.87,34.23,35,0.72,10.91,0.79,3.49,0.776835607537362
"Bimetal Bearings Ltd.",1961,7.31,7.22,5.49,46.06,40.3,0.7,10.37,0.75,3.67,0.586422064145763
"Bimetal Bearings Ltd.",1961,9.81,9.7,6.56,32.76,40.6,0.7,8.18,0.8,4.49,0.578472295794046
"Bimetal Bearings Ltd.",1961,3.86,3.81,2.85,50.89,42.3,0.69,10.3,0.57,2.43,0.4374609375
"Bimetal Bearings Ltd.",1961,2.26,2.24,1.86,69.43,44.1,0.76,28.74,0.65,5.96,0.55035824583076
